Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1990","1990","kt","85.833742","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1991","1991","kt","93.132361","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1992","1992","kt","73.213323","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1993","1993","kt","73.411414","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1994","1994","kt","87.978216","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1995","1995","kt","66.122748","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1996","1996","kt","69.221432","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1997","1997","kt","70.627446","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1998","1998","kt","65.505698","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","1999","1999","kt","64.910602","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2000","2000","kt","64.877374","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2001","2001","kt","58.606899","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2002","2002","kt","58.875639","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2003","2003","kt","22.011738","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2004","2004","kt","5.304577","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2005","2005","kt","19.408544","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2006","2006","kt","21.82448","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2007","2007","kt","71.704508","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2008","2008","kt","79.292554","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2009","2009","kt","60.569381","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2010","2010","kt","68.47089","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2011","2011","kt","68.353025","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2012","2012","kt","65.598878","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2013","2013","kt","55.167967","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2014","2014","kt","59.149564","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2015","2015","kt","63.82074","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2016","2016","kt","60.26052","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2017","2017","kt","77.782783","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2018","2018","kt","85.431066","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","040","Austria","7273","Emissions (CO2)","6997","Pesticides Manufacturing","2019","2019","kt","78.672288","E","Estimated value"
